"id","event_id","lang","title","teaser","content"
243,122,ru,Выставка «Знаки памяти»,"В РГБИ открывается выставочный проект «Знаки памяти», созданный при поддержке посольства Ирландии и Крокин галереи.","<p>В экспозиции представлены материалы из уникального фонда бытовой фотографии РГБИ, запечатлевшие самых обычных людей с конца XIX в. Архивные снимки соседствуют с работами, выполненными девятью &nbsp;современными художниками, демонстрирующими свое отношение к феномену памяти.</p>
<p>На выставке состоится московская премьера серии &laquo;Бессмертник&raquo; Валерия Корчагина, в которой художник обращается к археологии сознания и материализации памяти.</p>
<p>Впервые свое визуальное прочтение философского стихотворения Дж. Джойса &laquo;Се, дитя&raquo; представит известный ирландский художник и печатник Аарон Смит, Леонид Тишков покажет работу &laquo;Сублимация памяти. Три ступени&raquo;, а Сергей Чернов&nbsp; напомнит об искусстве начала ХХ в. в объекте &laquo;Супрематический мозг. Память Авангарда&raquo;.</p>
<p>В рамках выставки в РГБИ состоится лекция Аарона Смита&nbsp; и встреча с участниками проекта.</p>"
244,122,en,exhibition,exhibition,<p>exhibition</p>
245,123,ru,Книжно-иллюстративные выставки из цикла «Юбилеи года» в августе ,"Отдел Абонемента РГБИ проводит в августе выставки посвященные юбилеям:Дмитрия Сергеевича Мережковского , Ивана Яковлевича Билибина , Аполлинария Михайловича Васнецова ","<p>Отдел Абонемента РГБИ проводит в августе следующие выставки, посвященные :</p>
<ul>
<li>160 лет со дня рождения известного русского художника и искусствоведа Аполлинария Михайловича Васнецова</li>
<li>1150 лет со дня рождения выдающегося писателя и мыслителя XX века Дмитрия Сергеевича Мережковского</li>
<li>&nbsp;140 лет со дня рождения русского художника Ивана Яковлевича Билибина</li>
</ul>"
246,123,en,book exhibition,book exhibition,<p>book exhibition</p>
247,124,ru,"Лекция-обзор «Театральная книжная коллекция Газиевых в фонде ""Театралки""»","На лекции будет представлена информация об известных коллекционерах и библиофилах Газиевых, их тематическом собрании книг о театре. ","<p>На лекции будет представлена информация об известных коллекционерах и библиофилах Газиевых, их тематическом собрании книг о театре. Коллекция интересна историкам театра, искусствоведам, культурологам и т.п..</p>
<p>Читает лекцию зав. отделом хранения РГБИ, кандидат исторческих наук Болдырева О.П.</p>"
248,124,en,lecture,lecture,<p>lecture</p>
249,125,ru,Концерт : «Вечер камерной музыки»,"Концерт классической музыки из цикла «Молодые исполнители». Цикл концертов призван помочь юным музыкантам и певцам раскрыть свой  творческий потенциал, обрести уверенность при выступлениях на сцене.","<p>Концерт классической музыки из цикла &laquo;Молодые исполнители&raquo;.</p>
<p>Цикл концертов призван помочь юным музыкантам и певцам раскрыть свой&nbsp; творческий потенциал, обрести уверенность при выступлениях на сцене.</p>
<p>Выступают лауреаты международных музыкальных конкурсов Елена Семенова и Филипп Крылов. Концертмейстер: Екатерина Саранцева.</p>
<p>В программе &nbsp;прозвучат классические произведения зарубежных композиторов.</p>"
250,125,en,concert,concert,<p>concert</p>
251,126,ru,Выставка «Урок искусства. Учебники и пособия по искусству из коллекции РГБИ»,Книжная выставка к Дню знаний даст возможность студентам и педагогам творческих вузов перед началом учебного года ознакомиться с широким спектром учебных пособий по искусству.,"<p>Книжная выставка к Дню знаний даст возможность студентам и педагогам творческих вузов перед началом учебного года ознакомиться с широким спектром учебных пособий по искусству.</p>
<p>Все представленные издания будут в открытом доступе.</p>"
252,126,en,exhibition,exhibition,<p>exhibition</p>
253,127,ru,Выставка «Леонид Гайдай: иркутские страницы»,"Выставка фотографий, подготовленная РГБИ совместно с Иркутской областной государственной универсальной научной библиотекой им. И.И. Молчанова-Сибирского. ","<p>Выставка фотографий, подготовленная РГБИ совместно с Иркутской областной государственной универсальной научной библиотекой им. И.И. Молчанова-Сибирского, знакомит с малоизвестными страницами жизни знаменитого кинорежиссера, которые прошли в Иркутске. Экспозиция показывает редкие фотографии&nbsp; из семейного архива семьи Гайдай, фондов Музея истории города Иркутска, музейной экспозиции лицея № 36 ОАО &laquo;РЖД&raquo;, &nbsp;личных архивов. &nbsp;</p>
<p>Фотовыставку дополняют издания о жизни и творчестве Л.Гайдая, фотографии из фильмов, подлинные эскизы костюмов к кинофильму &laquo;Спортлото 82&raquo; художника Л.Нови из фондов РГБИ.</p>"
