"id","start_date","end_date","address","active","create_date"
62,"2016-02-01 13:00:00.0","2016-02-22 14:00:00.0","Голубой зал РГБИ (Б. Дмитровка, д. 8/1)",1,"2016-02-02 11:59:05.0"
63,"2016-02-04 13:00:00.0","2016-02-04 14:00:00.0","Музей читателя РГБИ (Б. Дмитровка, д. 8/1)",1,"2016-02-02 12:01:12.0"
64,"2016-02-05 13:00:00.0","2016-02-05 15:00:00.0","Голубой зал РГБИ (Б. Дмитровка, д. 8/1)",1,"2016-02-02 12:03:30.0"
65,"2016-02-12 13:00:00.0","2016-02-12 14:00:00.0","Голубой зал РГБИ (Б. Дмитровка, д. 8/1)",1,"2016-02-02 12:07:57.0"
66,"2016-02-14 21:00:00.0","2016-02-14 21:00:00.0","Голубой зал РГБИ (Б. Дмитровка, д. 8/1)",1,"2016-02-02 12:13:35.0"
67,"2016-02-17 09:00:00.0","2016-02-25 09:00:00.0",Русский Дом в Сербии (г. Белград),1,"2016-02-02 12:17:31.0"
68,"2016-02-20 09:00:00.0","2016-02-27 09:00:00.0",Музыкальный кадетский корпус при МГИК,1,"2016-02-02 12:42:13.0"
69,"2016-02-13 11:00:00.0","2016-02-13 14:00:00.0","Зал на Кузнецком (Кузнецкий мост, д.1)",1,"2016-02-02 13:18:47.0"
70,"2016-02-25 13:00:00.0","2016-02-25 15:00:00.0","Музей читателя РГБИ (Б. Дмитровка, д. 8/1)",1,"2016-02-02 13:21:34.0"
71,"2016-02-27 09:00:00.0","2016-02-27 13:00:00.0","Зал на Кузнецком (Кузнецкий мост, д.1)",1,"2016-02-10 10:52:35.0"
72,"2016-02-26 13:00:00.0","2016-02-16 15:00:00.0","Музей читателя РГБИ (Б. Дмитровка, д. 8/1)",1,"2016-02-10 12:07:46.0"
73,"2016-02-29 11:00:00.0","2016-02-29 13:00:00.0","Музей читателя РГБИ (Б. Дмитровка, д. 8/1)",1,"2016-02-10 12:20:30.0"
74,"2016-02-01 09:00:00.0","2016-02-29 09:00:00.0",Отдел абонемента РГБИ (Петровские линии д.1),1,"2016-02-10 12:39:48.0"
75,"2016-03-03 13:00:00.0","2016-03-03 14:30:00.0","Музей читателя РГБИ (Б. Дмитровка, д. 8/1)",1,"2016-03-01 08:01:03.0"
76,"2016-03-04 09:00:00.0","2016-03-25 09:00:00.0","Голубой зал РГБИ (Б. Дмитровка, д. 8/1)",1,"2016-03-01 08:45:10.0"
77,"2016-03-08 09:00:00.0","2016-04-08 09:00:00.0",Государственная публичная научно-техническая библиотека России,1,"2016-03-01 08:59:49.0"
78,"2016-03-10 15:00:00.0","2016-03-10 16:30:00.0","Музей читателя РГБИ (Б. Дмитровка, д. 8/1)",1,"2016-03-01 09:58:36.0"
79,"2016-03-10 09:00:00.0","2016-03-31 09:00:00.0",Национальная библиотека Республики Ингушетия им. Дж. Х. Яндиева (НБ РИ).,1,"2016-03-01 10:00:21.0"
80,"2016-03-12 11:00:00.0","2016-03-12 14:00:00.0","Зал на Кузнецком (Кузнецкий мост, д.1)",1,"2016-03-01 10:15:20.0"
81,"2016-03-17 12:00:00.0","2016-03-17 13:00:00.0","Музей читателя РГБИ (Б. Дмитровка, д. 8/1)",1,"2016-03-21 04:32:04.0"
82,"2016-03-18 13:00:00.0","2016-03-18 14:00:00.0","Музей читателя РГБИ (Б. Дмитровка, д. 8/1)",1,"2016-03-21 04:47:21.0"
83,"2016-03-22 13:00:00.0","2016-03-22 14:00:00.0","Музей читателя РГБИ (Б. Дмитровка, д. 8/1)",1,"2016-03-21 05:19:25.0"
84,"2016-03-21 13:30:00.0","2016-03-21 15:00:00.0","Голубой зал РГБИ (Б. Дмитровка, д. 8/1)",1,"2016-03-21 06:01:26.0"
85,"2016-03-23 08:30:00.0","2016-03-23 09:30:00.0","Музей читателя РГБИ (Б. Дмитровка, д. 8/1)",1,"2016-03-21 07:18:30.0"
